Nome,Documento,Email,Telefone,Tipo,Sexo,Endereco,Origem,Data_Cad,Foto
Mariana Silva,053.347.149-17,mariana.silva@cnak.com,(61) 90555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:05:00,https://picsum.photos/seed/1778238300/320/320
Tiago Almeida,053.347.149-20,tiago.almeida@cnak.com,(61) 91555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:05:00,https://picsum.photos/seed/1778238301/320/320
Beatriz Costa,053.347.149-23,beatriz.costa@cnak.com,(61) 92555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:05:00,https://picsum.photos/seed/1778238302/320/320
Mariana Silva,053.347.226-57,mariana.silva@cnak.com,(61) 90555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:48:00,https://picsum.photos/seed/1778240880/320/320
Tiago Almeida,053.347.226-60,tiago.almeida@cnak.com,(61) 91555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:48:00,https://picsum.photos/seed/1778240881/320/320
Beatriz Costa,053.347.226-63,beatriz.costa@cnak.com,(61) 92555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:48:00,https://picsum.photos/seed/1778240882/320/320
Lucas Pereira,053.347.226-66,lucas.pereira@cnak.com,(61) 93555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:48:00,https://picsum.photos/seed/1778240883/320/320
Mariana Silva,053.347.226-69,mariana.silva@cnak.com,(61) 94555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:48:00,https://picsum.photos/seed/1778240884/320/320
Beatriz Costa,053.347.226-87,beatriz.costa@cnak.com,(61) 90555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:48:10,https://picsum.photos/seed/1778240890/320/320
Lucas Pereira,053.347.226-90,lucas.pereira@cnak.com,(61) 91555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:48:10,https://picsum.photos/seed/1778240891/320/320
Mariana Silva,053.347.226-93,mariana.silva@cnak.com,(61) 92555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:48:10,https://picsum.photos/seed/1778240892/320/320
Tiago Almeida,053.347.226-96,tiago.almeida@cnak.com,(61) 93555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:48:10,https://picsum.photos/seed/1778240893/320/320
Beatriz Costa,053.347.226-99,beatriz.costa@cnak.com,(61) 94555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 08:48:10,https://picsum.photos/seed/1778240894/320/320
Mariana Silva,053.347.259-33,mariana.silva@cnak.com,(61) 92555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 09:06:12,https://picsum.photos/seed/1778241972/320/320
Tiago Almeida,053.347.259-36,tiago.almeida@cnak.com,(61) 93555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 09:06:12,https://picsum.photos/seed/1778241973/320/320
Beatriz Costa,053.347.259-39,beatriz.costa@cnak.com,(61) 94555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 09:06:12,https://picsum.photos/seed/1778241974/320/320
Lucas Pereira,053.347.259-42,lucas.pereira@cnak.com,(61) 95555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 09:06:12,https://picsum.photos/seed/1778241975/320/320
Mariana Silva,053.347.259-45,mariana.silva@cnak.com,(61) 96555-4444,Operacional,Não Informado,Brasília-DF,Sistema,2026-05-08 09:06:12,https://picsum.photos/seed/1778241976/320/320
